[0. 0.]
[0.36273971 0.00254611]
[0.6373598  0.00766416]
[0.52227062 0.00652987]
[0.43692237 0.00950999]
[0.35844326 0.00851887]
[0.28491116 0.00919833]
[0.22388254 0.01285355]
[0.18408339 0.01694332]
[0.16658838 0.02104965]
[0.16100825 0.02501035]
[0.16252415 0.02837388]
[0.16774765 0.03138575]
[0.17390272 0.0342692 ]
[0.17914018 0.03713688]
[0.18331814 0.0397772 ]
[0.18685824 0.04218156]
[0.19008507 0.04440814]
[0.19315451 0.046464  ]
[0.19609943 0.04841106]
[0.198926   0.05026168]
[0.20164317 0.05201878]
[0.20425843 0.05368932]
[0.20678064 0.05528376]
[0.20922042 0.0568121 ]
[0.21158659 0.05827481]
[0.21387763 0.05974849]
[0.21610416 0.0612102 ]
[0.21826029 0.06268905]
[0.22035503 0.06417156]
[0.22240254 0.06564351]
[0.22442061 0.06708298]
[0.22641361 0.06850359]
[0.22838786 0.06989984]
[0.23034585 0.07127652]
[0.23229066 0.07263269]
[0.23422191 0.07397112]
[0.23604082 0.07525548]
[0.23767217 0.07650031]
[0.23909771 0.07770547]
[0.24031502 0.07888845]
[0.24134098 0.08005045]
[0.24211995 0.08120743]
[0.24264866 0.082362  ]
[0.24295306 0.08352556]
[0.24307413 0.08470389]
[0.24305446 0.08590434]
[0.24293311 0.08713154]
[0.24274229 0.08838969]
[0.24250677 0.08968181]
[0.24224433 0.09101029]
[0.2419668  0.09237695]
[0.24168135 0.09378343]
[0.24139199 0.09523101]
[0.24110015 0.09672108]
[0.2408061  0.09825494]
[0.24050905 0.09983399]
[0.24020797 0.10145963]
[0.23988971 0.10313345]
[0.23953775 0.10485735]
[0.23914471 0.10663394]
[0.23870814 0.10846604]
[0.23822787 0.11035667]
[0.23775499 0.11227759]
[0.23731293 0.11424182]
[0.23691474 0.11624238]
[0.23656273 0.11828255]
[0.23625673 0.12035961]
[0.23599398 0.12247419]
[0.23577133 0.12462518]
[0.23558538 0.12681259]
[0.23543285 0.12903613]
[0.23531029 0.13129596]
[0.23521446 0.13359211]
[0.2351428  0.13592486]
[0.23509325 0.13829453]
[0.23506404 0.14070155]
[0.23505364 0.14314651]
[0.23506078 0.14563008]
[0.23508438 0.14815286]
[0.23512359 0.15071572]
[0.2351775 0.1533194]
[0.23524551 0.15596496]
[0.23532709 0.15865321]
[0.23542172 0.1613853 ]
[0.23551482 0.16414075]
[0.23558788 0.16692336]
[0.23563351 0.16973345]
[0.23564899 0.17257369]
[0.23563446 0.17544581]
[0.23559129 0.17835216]
[0.23552142 0.18129468]
[0.2354269 0.1842754]
[0.23515005 0.18724079]
[0.23451191 0.19019234]
[0.23349285 0.19315973]
[0.2321391  0.19615558]
[0.23050958 0.19919716]
[0.2286602  0.20229399]
[0.22663561 0.20545548]
[0.22446969 0.20868744]
[0.22218655 0.21199524]
[0.21980287 0.2153825 ]
[0.21732967 0.21885251]
[0.21469864 0.22237943]
[0.21183749 0.22596791]
[0.20873345 0.22962727]
[0.20539367 0.23336235]
[0.2018292  0.23717906]
[0.19805133 0.24108155]
[0.19407511 0.24506256]
[0.18990934 0.24912885]
[0.18577103 0.253333  ]
[0.18176827 0.25764528]
[0.17791738 0.2620725 ]
[0.17430116 0.26656467]
[0.17093201 0.2711336 ]
[0.16779803 0.27576452]
[0.16487749 0.28045902]
[0.16214857 0.28521138]
[0.15956546 0.29003686]
[0.1571022  0.29491338]
[0.15471891 0.29982081]
[0.15239519 0.30477127]
[0.15012184 0.30975744]
[0.14788991 0.31478253]
[0.14569271 0.31984344]
[0.14352341 0.32494041]
[0.14142695 0.3300578 ]
[0.1394849  0.33517888]
[0.13770168 0.34030771]
[0.13606732 0.34543973]
[0.13456821 0.35057566]
[0.13319121 0.35571101]
[0.13191767 0.36082676]
[0.13073315 0.36593169]
[0.12962954 0.3710185 ]
[0.12859839 0.37608859]
[0.12763308 0.38113844]
[0.12672721 0.38616684]
[0.12587522 0.39117107]
[0.12507193 0.39614928]
[0.12431276 0.4010987 ]
[0.12359342 0.40601701]
[0.12291007 0.41090143]
[0.12225918 0.41574919]
