TR,A,L,T,Force,Disp
1,120,300,2,0,0
1,120,300,2,0,0
1,120,300,2,59.20166016,0.774468601
1,120,300,2,117.9654999,1.548937202
1,120,300,2,106.0219879,2.323405981
1,120,300,2,93.9438324,3.097874403
1,120,300,2,49.78926849,3.872343063
1,120,300,2,6.03674221,4.646811962
1,120,300,2,9.645904541,5.421280384
1,120,300,2,13.28663254,6.195748806
1,120,300,2,20.83177567,6.970217228
1,120,300,2,28.23836327,7.744686127
1,120,300,2,23.1407814,8.519155502
1,120,300,2,18.14892387,9.293623924
1,120,300,2,20.76935005,10.06809139
1,120,300,2,23.34634781,10.84255981
1,120,300,2,22.92931175,11.61702728
1,120,300,2,22.46069145,12.39149571
1,120,300,2,18.9356041,13.16596413
1,120,300,2,15.50167465,13.9404316
1,120,300,2,16.74548149,14.71490002
1,120,300,2,17.98949623,15.48928833
1,120,300,2,19.24322319,16.25994873
1,120,300,2,20.48987389,17.03061104
1,120,300,2,21.43853188,17.80127144
1,120,300,2,22.31221199,18.57193375
1,120,300,2,20.18697929,19.34259415
1,120,300,2,18.11800766,20.11325455
1,120,300,2,18.10852814,20.88391686
1,120,300,2,18.07746697,21.65457916
1,120,300,2,17.33854294,22.42523956
1,120,300,2,16.6781826,23.19589996
1,120,300,2,18.49092484,23.96656036
1,120,300,2,20.22811127,24.73722267
1,120,300,2,19.81771088,25.50788498
1,120,300,2,19.41460037,26.27854538
1,120,300,2,19.21742439,27.04920578
1,120,300,2,18.98573685,27.81986618
1,120,300,2,17.86043167,28.5905304
1,120,300,2,16.76477432,29.3611908
1,120,300,2,16.38845825,30.1318512
1,120,300,2,16.02440643,30.90240097
1,120,300,2,15.95478916,31.67023087
1,120,300,2,15.88377476,32.43806076
1,120,300,2,15.7817688,33.20589066
1,120,300,2,15.68442249,33.97372055
1,120,300,2,15.68787384,34.74155045
1,120,300,2,15.66385937,35.50937653
1,120,300,2,15.09005165,36.27720642
1,120,300,2,14.56540871,37.04503632
1,120,300,2,15.00362873,37.81286621
1,120,300,2,15.38800526,38.58069611
1,120,300,2,14.75318813,39.348526
1,120,300,2,14.1800251,40.1163559
1,120,300,2,14.73129177,40.88418579
1,120,300,2,15.29097843,41.65201569
1,120,300,2,15.99265194,42.41984558
1,120,300,2,16.64980888,43.18767548
1,120,300,2,16.57283402,43.95550156
1,120,300,2,16.49656296,44.72333145
1,120,300,2,16.43175507,45.49116135
1,120,300,2,16.36645126,46.25883865
1,120,300,2,16.29354668,47.02419663
1,120,300,2,16.17123985,47.78955078
1,120,300,2,15.30625534,48.55490494
1,120,300,2,14.45627594,49.32026291
1,120,300,2,13.8222332,50.08561707
1,120,300,2,13.22527409,50.85097504
1,120,300,2,13.1482811,51.61632919
1,120,300,2,13.05453301,52.38168335
1,120,300,2,12.73738098,53.14704132
1,120,300,2,12.43245983,53.91239548
1,120,300,2,12.29010296,54.67774963
1,120,300,2,12.19371796,55.44310761
1,120,300,2,12.68835831,56.20846176
1,120,300,2,13.15935803,56.97381592
1,120,300,2,13.33947659,57.73917389
1,120,300,2,13.48833466,58.50452805
1,120,300,2,13.26437473,59.2698822
1,120,300,2,13.05741119,60.03524017
1,120,300,2,13.05088997,60.80059433
1,120,300,2,13.05058765,61.56577683
1,120,300,2,13.12183666,62.32895279
1,120,300,2,13.20317841,63.09212875
1,120,300,2,13.39577198,63.85530853
1,120,300,2,13.55121326,64.6184845
1,120,300,2,13.30554295,65.38166046
1,120,300,2,13.08108139,66.14483643
1,120,300,2,13.07868481,66.90802002
1,120,300,2,13.05941963,67.67119598
1,120,300,2,12.86618996,68.43437195
1,120,300,2,12.68482685,69.19754791
1,120,300,2,12.62114143,69.96072388
1,120,300,2,12.55784798,70.72389984
1,120,300,2,12.49837112,71.48707581
1,120,300,2,12.41763687,72.2502594
1,120,300,2,12.13302898,73.01343536
1,120,300,2,11.84685898,73.77661133
1,120,300,2,11.54631233,74.53978729
1,120,300,2,11.25011253,75.30296326
1,120,300,2,10.99319458,76.06614685
1,120,300,2,10.75419235,76.82913208
1,120,300,2,10.67387962,77.59043884
1,120,300,2,10.58875942,78.35173798
1,120,300,2,10.46188545,79.11304474
1,120,300,2,10.35210609,79.8743515
1,120,300,2,10.38795281,80.63565064
1,120,300,2,10.41149616,81.3969574
1,120,300,2,10.33220482,82.15826416
1,120,300,2,10.24439621,82.91956329
1,120,300,2,10.08673859,83.68087006
1,120,300,2,9.963336945,84.44217682
1,120,300,2,10.1151638,85.20347595
1,120,300,2,10.23654747,85.96478272
1,120,300,2,10.11824894,86.72608948
1,120,300,2,10.00695896,87.48738861
1,120,300,2,9.949761391,88.24869537
1,120,300,2,9.894183159,89.01000214
1,120,300,2,9.850885391,89.77130127
1,120,300,2,9.815857887,90.53260803
1,120,300,2,9.84245491,91.2939148
1,120,300,2,9.874815941,92.05501556
1,120,300,2,9.94931221,92.81465912
1,120,300,2,10.00213337,93.57430267
